identifier,de,fr,it,rm,en,date,version,type
deaths-demography,Für die Berichtswoche wurden bisher für die Altersklassen von 0 bis 49 Jahren keine Todesfälle gemeldet. Die meisten Todesfälle (65 %) wurden in der Altersklasse der 80-Jährigen und Älteren verzeichnet. Die Inzidenzrate der Todesfälle nimmt mit steigendem Alter zu. Die Inzidenzrate der Todesfälle der 80-Jährigen und Älteren sank seit ihrem Höchststand mit über 100 Todesfällen pro 100 000 Einw. in Woche 51/2020 fast kontinuierlich bis Woche 19/2021 und liegt bei unter 5 Todesfällen pro 100 000 Einw. Das Medianalter aller verstorbenen Personen lag in der Berichtswoche bei 85 Jahren. Die Inzidenzrate der Todesfälle im Zusammenhang mit COVID-19 war in der gesamten Epidemie bei Männern höher als bei Frauen.,"Pour la semaine sous revue, aucun décès n’a jusqu’ici été déclaré pour les groupes d’âge entre 0 et 49 ans. La plupart des décès (65 %) concernaient la classe d’âge des 80 ans et plus. Le taux d’incidence des décès (taux de mortalité) augmente avec l’âge. Le taux de mortalité des personnes de 80 ans et plus a baissé presque continuellement depuis le pic atteint en semaine 51/2020 (plus de 100 décès pour 100 000 habitants) jusqu’à la semaine 19/2021 (moins de 5 décès pour 100 000 habitants). Durant la semaine sous revue, l’âge médian de toutes les personnes décédées se situait à 85 ans. Le taux de mortalité en lien avec le COVID-19 était plus élevé pour les hommes que pour les femmes sur l’ensemble de l’épidémie.","Per la settimana in rassegna non sono stati finora dichiarati decessi nella fascia d’età tra gli 0 e i 49 anni. La maggior parte dei decessi (65 %) è stata registrata nella fascia d’età dagli 80 anni in su. Il tasso d’incidenza dei decessi cresce con l’aumentare dell’età. Il tasso d’incidenza dei decessi fra le persone dagli 80 anni in su è diminuito pressoché continuamente, dopo il picco raggiunto nella settimana 51/2020, con oltre 100 decessi ogni 100 000 abitanti, fino alla settimana 20/2021, con meno di 5 decessi ogni 100 000 abitanti. Nella settimana in rassegna l’età mediana di tutte le persone decedute è stata di 85 anni. Durante l’intera epidemia il tasso d’incidenza dei decessi in relazione a COVID-19 è stato superiore negli uomini rispetto alle donne.",Für die Berichtswoche wurden bisher für die Altersklassen von 0 bis 49 Jahren keine Todesfälle gemeldet. Die meisten Todesfälle (65 %) wurden in der Altersklasse der 80-Jährigen und Älteren verzeichnet. Die Inzidenzrate der Todesfälle nimmt mit steigendem Alter zu. Die Inzidenzrate der Todesfälle der 80-Jährigen und Älteren sank seit ihrem Höchststand mit über 100 Todesfällen pro 100 000 Einw. in Woche 51/2020 fast kontinuierlich bis Woche 19/2021 und liegt bei unter 5 Todesfällen pro 100 000 Einw. Das Medianalter aller verstorbenen Personen lag in der Berichtswoche bei 85 Jahren. Die Inzidenzrate der Todesfälle im Zusammenhang mit COVID-19 war in der gesamten Epidemie bei Männern höher als bei Frauen.,Für die Berichtswoche wurden bisher für die Altersklassen von 0 bis 49 Jahren keine Todesfälle gemeldet. Die meisten Todesfälle (65 %) wurden in der Altersklasse der 80-Jährigen und Älteren verzeichnet. Die Inzidenzrate der Todesfälle nimmt mit steigendem Alter zu. Die Inzidenzrate der Todesfälle der 80-Jährigen und Älteren sank seit ihrem Höchststand mit über 100 Todesfällen pro 100 000 Einw. in Woche 51/2020 fast kontinuierlich bis Woche 19/2021 und liegt bei unter 5 Todesfällen pro 100 000 Einw. Das Medianalter aller verstorbenen Personen lag in der Berichtswoche bei 85 Jahren. Die Inzidenzrate der Todesfälle im Zusammenhang mit COVID-19 war in der gesamten Epidemie bei Männern höher als bei Frauen.,202120,2021-05-26_07-56-34,COVID19WeeklyReportText
tests-summary,"In der Berichtswoche wurden 199 823 Tests (68 % PCR und 32 % Antigen-Schnelltests) gemeldet. Dies waren etwa gleich viele Tests wie in der Vorwoche (+8,9 %).","Pendant la semaine sous revue, 199 823 tests (dont 68 % de tests PCR et 32 % de tests rapides antigéniques) ont été déclarés, soit un nombre similaire à la semaine précédente (+8,9 %).","Nella settimana in rassegna sono stati dichiarati 199 823 test (di cui il 68 % test PCR e il 32 % test antigenici rapidi), ossia un numero pressoché uguale (+8,9 %) rispetto alla settimana precedente.","In der Berichtswoche wurden 199 823 Tests (68 % PCR und 32 % Antigen-Schnelltests) gemeldet. Dies waren etwa gleich viele Tests wie in der Vorwoche (+8,9 %).","In der Berichtswoche wurden 199 823 Tests (68 % PCR und 32 % Antigen-Schnelltests) gemeldet. Dies waren etwa gleich viele Tests wie in der Vorwoche (+8,9 %).",202120,2021-05-26_07-56-34,COVID19WeeklyReportText
tests-geography,In 14 Kantonen und im FL hat die Anzahl gemeldeter Tests in der Berichtswoche im Vergleich zur Vorwoche um mindestens 10 % zugenommen. In 11 Kantonen veränderte sie sich weniger als ±10 %. In einem Kanton (TG) nahm die Anzahl gemeldeter Tests um mehr als 10 % ab. Die Inzidenzrate gemeldeter Tests lag in den Kantonen und im FL zwischen 1517 pro 100 000 Einw. und Woche in AR und 8700 in UR. Pro Person sind mehrere positive und negative Tests möglich.,"Dans 14 cantons et au Liechtenstein, le nombre de tests déclarés a augmenté d’au moins 10 % pendant la semaine sous revue par rapport à la semaine précédente. Dans 11 cantons, le nombre des tests a varié de moins de ±10 %. Le nombre de tests déclarés a diminué de plus de 10 % dans un canton (TG). Dans les cantons et au Liechtenstein, le taux d’incidence des tests déclarés a varié, pour 100 000 habitants et par semaine, entre 1517 pour AR et 8700 pour UR. Plusieurs tests positifs ou négatifs sont possibles chez la même personne.",In 14 Cantoni e in FL il numero di test dichiarati nella settimana in rassegna è aumentato almeno del 10 % rispetto alla settimana precedente. In 11 Cantoni è variato di meno di ±10 %. In un Cantone (TG) è diminuito di più del 10 %. Il tasso d’incidenza dei test dichiarati nei Cantoni e in FL ha oscillato tra i 1517 alla settimana per 100 000 abitanti in AR e gli 8700 in UR. Per la stessa persona possono risultare positivi o negativi più test.,In 14 Kantonen und im FL hat die Anzahl gemeldeter Tests in der Berichtswoche im Vergleich zur Vorwoche um mindestens 10 % zugenommen. In 11 Kantonen veränderte sie sich weniger als ±10 %. In einem Kanton (TG) nahm die Anzahl gemeldeter Tests um mehr als 10 % ab. Die Inzidenzrate gemeldeter Tests lag in den Kantonen und im FL zwischen 1517 pro 100 000 Einw. und Woche in AR und 8700 in UR. Pro Person sind mehrere positive und negative Tests möglich.,In 14 Kantonen und im FL hat die Anzahl gemeldeter Tests in der Berichtswoche im Vergleich zur Vorwoche um mindestens 10 % zugenommen. In 11 Kantonen veränderte sie sich weniger als ±10 %. In einem Kanton (TG) nahm die Anzahl gemeldeter Tests um mehr als 10 % ab. Die Inzidenzrate gemeldeter Tests lag in den Kantonen und im FL zwischen 1517 pro 100 000 Einw. und Woche in AR und 8700 in UR. Pro Person sind mehrere positive und negative Tests möglich.,202120,2021-05-26_07-56-34,COVID19WeeklyReportText
tests-share_of_positive_tests,"Schweizweit (inkl. FL) ist der Anteil positiver PCR-Tests in der Berichtswoche im Vergleich zur Vorwoche etwa gleich geblieben (5,4 % in der Vorwoche, 5,0 % in der Berichtstwoche), wobei der Anteil positiver Antigen-Schnelltests von 3,0 % auf 2,1 % gesunken ist. Der Anteil positiver PCR- sowie Antigen-Schnelltests lag in der Berichtswoche in fast allen Kantonen und dem FL unter 10 %.","En Suisse et au Liechtenstein, la proportion de résultats positifs est restée stable pour les tests PCR (5,0 % durant la semaine sous revue, contre 5,4 % la semaine précédente) et a diminué pour les tests rapides antigéniques (de 3,0 % à 2,1 %). La proportion de résultats positifs (tests PCR et tests rapides antigéniques) était inférieure à 10 % dans presque tous les cantons et au Liechtenstein durant la semaine sous revue.","In tutta la Svizzera (incl. FL) la percentuale di test PCR positivi nella settimana in rassegna è rimasta pressoché uguale rispetto alla settimana precedente (5,0 % a fronte di un 5,4 % nella settimana precedente), con un calo dei test antigenici rapidi risultati positivi (scesi dal 3,0 % al 2,1 %). Nella settimana in rassegna, la percentuale di test PCR e test antigenici rapidi positivi era inferiore al 10 % in quasi tutti i Cantoni e in FL.","Schweizweit (inkl. FL) ist der Anteil positiver PCR-Tests in der Berichtswoche im Vergleich zur Vorwoche etwa gleich geblieben (5,4 % in der Vorwoche, 5,0 % in der Berichtstwoche), wobei der Anteil positiver Antigen-Schnelltests von 3,0 % auf 2,1 % gesunken ist. Der Anteil positiver PCR- sowie Antigen-Schnelltests lag in der Berichtswoche in fast allen Kantonen und dem FL unter 10 %.","Schweizweit (inkl. FL) ist der Anteil positiver PCR-Tests in der Berichtswoche im Vergleich zur Vorwoche etwa gleich geblieben (5,4 % in der Vorwoche, 5,0 % in der Berichtstwoche), wobei der Anteil positiver Antigen-Schnelltests von 3,0 % auf 2,1 % gesunken ist. Der Anteil positiver PCR- sowie Antigen-Schnelltests lag in der Berichtswoche in fast allen Kantonen und dem FL unter 10 %.",202120,2021-05-26_07-56-34,COVID19WeeklyReportText
tests-demography,In der Berichtswoche wurden in den Altersklassen der 20- bis 59-Jährigen jeweils über 30 000 Tests gemeldet. Dies beinhaltet PCR-Tests sowie Antigen-Schnelltests. Bezogen auf die Bevölkerungszahl wurden in den Altersklassen der 20- bis 59-Jährigen mit jeweils über 2500 pro 100 000 Einw. die meisten Tests gemeldet. Im Vergleich zur Vorwoche stieg die Anzahl der gemeldeten Tests in den Altersklassen der 10- bis 29- und 60- bis 79-Jährigen um mehr als 10 % an. Das Medianalter der getesteten Personen lag bei 40 Jahren. Seit Woche 09/2021 bewegt sich das Medianalter zwischen 38 und 40 Jahren. Die Inzidenzrate der Tests unterschied sich in der Berichtswoche und der Vorwoche zwischen den Geschlechtern kaum.,"Durant la semaine sous revue, plus de 30 000 tests ont été déclarés pour chaque tranche d’âge entre 20 et 59 ans. Ce chiffre comprend les tests PCR et les tests rapides antigéniques. Par rapport à la population, les classes d’âge de 20 à 59 ans ont été les plus concernées avec, dans chaque groupe, plus de 2500 tests déclarés pour 100 000 habitants. En comparaison avec la semaine précédente, le nombre de tests déclarés a augmenté de plus de 10 % dans les classes d’âge entre 10 et 29 ans et entre 60 et 79 ans. L’âge médian des personnes testées était de 40 ans. Depuis la semaine 09/2021, ce chiffre varie entre 38 et 40 ans. Il n’y a guère de différence dans le taux de dépistage entre les sexes durant la semaine sous revue et la semaine précédente.","Nella settimana in rassegna, nelle fasce d’età tra i 20 e i 59 anni sono stati dichiarati rispettivamente oltre 30 000 test. Tale cifra comprende sia i test PCR sia i test antigenici rapidi. In rapporto all’intera popolazione, le fasce d’età tra i 20 e i 59 anni sono state quelle in cui è stato dichiarato il maggior numero di test, ciascuna con oltre 2500 test ogni 100 000 abitanti. Rispetto alla settimana precedente, il numero di test dichiarati è salito di più del 10 % nelle fasce d’età tra i 10 e i 29 e tra i 60 e i 79 anni. i L’età mediana delle persone sottoposte a test è stata di 40 anni. Dalla settimana 09/2021 oscilla tra i 38 e i 40 anni. Nella settimana in rassegna e in quella precedente il tasso di test è stato pressoché identico tra i generi.",In der Berichtswoche wurden in den Altersklassen der 20- bis 59-Jährigen jeweils über 30 000 Tests gemeldet. Dies beinhaltet PCR-Tests sowie Antigen-Schnelltests. Bezogen auf die Bevölkerungszahl wurden in den Altersklassen der 20- bis 59-Jährigen mit jeweils über 2500 pro 100 000 Einw. die meisten Tests gemeldet. Im Vergleich zur Vorwoche stieg die Anzahl der gemeldeten Tests in den Altersklassen der 10- bis 29- und 60- bis 79-Jährigen um mehr als 10 % an. Das Medianalter der getesteten Personen lag bei 40 Jahren. Seit Woche 09/2021 bewegt sich das Medianalter zwischen 38 und 40 Jahren. Die Inzidenzrate der Tests unterschied sich in der Berichtswoche und der Vorwoche zwischen den Geschlechtern kaum.,In der Berichtswoche wurden in den Altersklassen der 20- bis 59-Jährigen jeweils über 30 000 Tests gemeldet. Dies beinhaltet PCR-Tests sowie Antigen-Schnelltests. Bezogen auf die Bevölkerungszahl wurden in den Altersklassen der 20- bis 59-Jährigen mit jeweils über 2500 pro 100 000 Einw. die meisten Tests gemeldet. Im Vergleich zur Vorwoche stieg die Anzahl der gemeldeten Tests in den Altersklassen der 10- bis 29- und 60- bis 79-Jährigen um mehr als 10 % an. Das Medianalter der getesteten Personen lag bei 40 Jahren. Seit Woche 09/2021 bewegt sich das Medianalter zwischen 38 und 40 Jahren. Die Inzidenzrate der Tests unterschied sich in der Berichtswoche und der Vorwoche zwischen den Geschlechtern kaum.,202120,2021-05-26_07-56-34,COVID19WeeklyReportText
overview-short_description,"Im Vergleich zur Vorwoche sanken in der Berichtswoche (Woche 21/2021) die Zahlen der gemeldeten Fälle, der Hospitalisationen und der Tests. Die Zahl der gemeldeten Todesfälle verblieb in der Berichtswoche auf tiefem Niveau.","En comparaison avec la semaine précédente, le nombre de cas, d’hospitalisations et de tests déclarés a diminuée pendant la semaine sous revue (semaine 21/2021). Quant au nombre de décès déclarés, il s’est maintenu à un faible niveau.","Rispetto alla settimana precedente, nella settimana in rassegna (settimana 21/2021) il numero di casi dichiarati, ricoveri ospedalieri e test è sceso, mentre il numero di decessi dichiarati è rimasto a un livello basso.","Im Vergleich zur Vorwoche sanken in der Berichtswoche (Woche 21/2021) die Zahlen der gemeldeten Fälle, der Hospitalisationen und der Tests. Die Zahl der gemeldeten Todesfälle verblieb in der Berichtswoche auf tiefem Niveau.","Im Vergleich zur Vorwoche sanken in der Berichtswoche (Woche 21/2021) die Zahlen der gemeldeten Fälle, der Hospitalisationen und der Tests. Die Zahl der gemeldeten Todesfälle verblieb in der Berichtswoche auf tiefem Niveau.",202121,2021-06-02_07-57-25,COVID19WeeklyReportText
overview-cases,Für die Berichtswoche wurden insgesamt 5111 laborbestätigte Fälle gemeldet. Somit sank die Anzahl gemeldeter Fälle von 7344 in der Vorwoche (-30 %). Die Inzidenz der laborbestätigten Fälle in den Kantonen und im FL lag zwischen 22 Fällen pro 100 000 Einwohnerinnen und Einwohnern und Woche im TI und 298 in AI.,"Pour la semaine sous revue, un total de 5111 cas confirmés en laboratoire a été déclaré, marquant ainsi une diminution par rapport aux 7344 cas déclarés de la semaine précédente ( 30 %). L’incidence des cas confirmés en laboratoire dans les cantons et le Liechtenstein était comprise entre 22 cas pour 100 000 habitants par semaine pour TI et 298 à AI.","Per la settimana in rassegna sono stati dichiarati complessivamente 5111 casi confermati in laboratorio, per cui il numero di casi dichiarati è diminuito rispetto ai 7344 della settimana precedente (-30 %). L’incidenza dei casi confermati in laboratorio nei Cantoni e in FL ha oscillato tra i 22 casi alla settimana per 100 000 abitanti in TI e i 298 in AI.",Für die Berichtswoche wurden insgesamt 5111 laborbestätigte Fälle gemeldet. Somit sank die Anzahl gemeldeter Fälle von 7344 in der Vorwoche (-30 %). Die Inzidenz der laborbestätigten Fälle in den Kantonen und im FL lag zwischen 22 Fällen pro 100 000 Einwohnerinnen und Einwohnern und Woche im TI und 298 in AI.,Für die Berichtswoche wurden insgesamt 5111 laborbestätigte Fälle gemeldet. Somit sank die Anzahl gemeldeter Fälle von 7344 in der Vorwoche (-30 %). Die Inzidenz der laborbestätigten Fälle in den Kantonen und im FL lag zwischen 22 Fällen pro 100 000 Einwohnerinnen und Einwohnern und Woche im TI und 298 in AI.,202121,2021-06-02_07-57-25,COVID19WeeklyReportText
overview-hospitalisations,Für die Berichtswoche wurden bisher 115 Hospitalisationen im Zusammenhang mit einer laborbestätigten SARS-CoV-2-Infektion gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 193 gemeldete Hospitalisationen. Somit sank die Zahl der Hospitalisationen im Vergleich zur Vorwoche voraussichtlich. Die durchschnittliche Zahl der Patientinnen und Patienten mit einer SARS-CoV-2-Infektion auf einer Intensivpflegestation lag in der Berichtswoche bei 144 Personen im Vergleich zu 172 in der Vorwoche.,"Jusqu’ici, 115 hospitalisations en lien avec une infection au SARS-CoV-2 confirmée en laboratoire ont été déclarées pour la semaine sous revue. La semaine précédente, au même moment, leur nombre était de 193. Le nombre d’hospitalisations devrait donc diminuer par rapport à la semaine précédente, malgré les déclarations tardives encore attendues. Le nombre moyen de patients atteints d’une infection au SARS-CoV-2 hospitalisés dans une unité de soins intensifs était de 144 pendant la semaine sous revue, contre 172 la semaine précédente.","Per la settimana in rassegna, finora sono stati dichiarati 115 ricoveri per un’infezione da SARS-CoV-2 confermata in laboratorio, contro i 193 dichiarati nello stesso momento della settimana precedente. Quindi il numero di ricoveri nella settimana in rassegna è probabilmente diminuito rispetto a quello della settimana precedente. Il numero medio di pazienti ricoverati per un’infezione da SARS-CoV-2 in un reparto di cure intense nella settimana in rassegna è stato di 144, contro i 172 della settimana precedente.",Für die Berichtswoche wurden bisher 115 Hospitalisationen im Zusammenhang mit einer laborbestätigten SARS-CoV-2-Infektion gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 193 gemeldete Hospitalisationen. Somit sank die Zahl der Hospitalisationen im Vergleich zur Vorwoche voraussichtlich. Die durchschnittliche Zahl der Patientinnen und Patienten mit einer SARS-CoV-2-Infektion auf einer Intensivpflegestation lag in der Berichtswoche bei 144 Personen im Vergleich zu 172 in der Vorwoche.,Für die Berichtswoche wurden bisher 115 Hospitalisationen im Zusammenhang mit einer laborbestätigten SARS-CoV-2-Infektion gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 193 gemeldete Hospitalisationen. Somit sank die Zahl der Hospitalisationen im Vergleich zur Vorwoche voraussichtlich. Die durchschnittliche Zahl der Patientinnen und Patienten mit einer SARS-CoV-2-Infektion auf einer Intensivpflegestation lag in der Berichtswoche bei 144 Personen im Vergleich zu 172 in der Vorwoche.,202121,2021-06-02_07-57-25,COVID19WeeklyReportText
overview-deaths,Für die Berichtswoche wurden dem BAG bisher 17 Todesfälle im Zusammenhang mit einer laborbestätigten SARS-CoV-2-Infektion gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 23 gemeldete Todesfälle. Die gemeldeten Todesfällen verbleiben somit auf tiefem Niveau.,"Pour la semaine sous revue, 17 décès en lien avec une infection au SARS-CoV-2 confirmée en laboratoire ont été enregistrés jusqu’ici. La semaine précédente, au même moment, leur nombre était de 23. Le nombre de décès déclarés se maintient donc à un faible niveau.","Per la settimana in rassegna, sono finora stati dichiarati all’UFSP 17 decessi in relazione a un’infezione da SARS-CoV-2 confermata in laboratorio. Fino allo stesso momento della settimana precedente ne sono stati dichiarati 23. Il numero di decessi dichiarati rimane quindi a un livello basso.",Für die Berichtswoche wurden dem BAG bisher 17 Todesfälle im Zusammenhang mit einer laborbestätigten SARS-CoV-2-Infektion gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 23 gemeldete Todesfälle. Die gemeldeten Todesfällen verbleiben somit auf tiefem Niveau.,Für die Berichtswoche wurden dem BAG bisher 17 Todesfälle im Zusammenhang mit einer laborbestätigten SARS-CoV-2-Infektion gemeldet. In der Vorwoche waren es zum selben Zeitpunkt 23 gemeldete Todesfälle. Die gemeldeten Todesfällen verbleiben somit auf tiefem Niveau.,202121,2021-06-02_07-57-25,COVID19WeeklyReportText
overview-tests,"In der Berichtswoche wurden 155 730Tests (70 % PCR und 30 % Antigen-Schnelltests) gemeldet. Im Vergleich zur Vorwoche ist die Anzahl Tests um 22 % gesunken. Der Anteil positiver PCR-Tests ist von 5,0 %in der Vorwoche auf 4,3 % gesunken. Der Anteil positiver Antigen-Schnelltests blieb mit 2,1 % gleich. Pro Person sind mehrere positive und negative Tests möglich.","Au cours de la semaine sous revue, 155 730 tests (70 % de tests PCR et 30 % de tests rapides antigéniques) ont été déclarés. Par rapport à la semaine précédente, le nombre de tests a diminué de 22 %. La proportion de résultats positifs pour les tests PCR est passée de 5,0 % la semaine précédente à 4,3 %. Celle pour les tests rapides antigéniques est restée la même, à 2,1 %. Plusieurs tests positifs ou négatifs sont possibles chez la même personne.","Nella settimana in rassegna sono stati dichiarati 155 730 test (70 % PCR e 30 % test antigenici rapidi), pari a un calo del 22 % rispetto alla settimana precedente. La percentuale dei test PCR positivi è scesa dal 5,0 % della settimana precedente al 4,3 %. Quella dei test antigenici rapidi risultati positivi è rimasta uguale (2,1 %). Per la stessa persona possono risultare positivi o negativi più test.","In der Berichtswoche wurden 155 730Tests (70 % PCR und 30 % Antigen-Schnelltests) gemeldet. Im Vergleich zur Vorwoche ist die Anzahl Tests um 22 % gesunken. Der Anteil positiver PCR-Tests ist von 5,0 %in der Vorwoche auf 4,3 % gesunken. Der Anteil positiver Antigen-Schnelltests blieb mit 2,1 % gleich. Pro Person sind mehrere positive und negative Tests möglich.","In der Berichtswoche wurden 155 730Tests (70 % PCR und 30 % Antigen-Schnelltests) gemeldet. Im Vergleich zur Vorwoche ist die Anzahl Tests um 22 % gesunken. Der Anteil positiver PCR-Tests ist von 5,0 %in der Vorwoche auf 4,3 % gesunken. Der Anteil positiver Antigen-Schnelltests blieb mit 2,1 % gleich. Pro Person sind mehrere positive und negative Tests möglich.",202121,2021-06-02_07-57-25,COVID19WeeklyReportText
overview-contact_tracing,"Gemäss Meldungen von 24 Kantonen und dem FL befanden sich am 02.06.2021 insgesamt 6519 Personen in Isolation und 10 689 in Quarantäne. Diese Zahlen sind im Vergleich zur Vorwoche gesunken. Die Anzahl Personen in Quarantäne nach Einreise aus einem Land mit erhöhtem Ansteckungsrisiko ist gesunken auf 3552, nach Angaben von 23 Kantonen und dem FL.","Au 2 juin 2021, selon la déclaration de 24 cantons et du Liechtenstein, 6519 personnes étaient en isolement et 10 689 en quarantaine. Ces chiffres ont baissé par rapport à ceux de la semaine précédente. Le nombre de personnes en quarantaine parce qu’elles arrivaient d’un pays présentant un risque élevé de contamination a diminué pour s’établir à 3552, d’après les données de 23 cantons et du Liechtenstein.","Secondo le dichiarazioni di 24 Cantoni e di FL, il 02.06.2021 vi erano complessivamente 6519 persone in isolamento e 10 689 in quarantena. Queste cifre sono scese rispetto alla settimana precedente. Il numero di persone in quarantena giunte in Svizzera da un Paese con un elevato rischio di contagio è sceso a 3552, secondo le dichiarazioni di 23 Cantoni e di FL.","Gemäss Meldungen von 24 Kantonen und dem FL befanden sich am 02.06.2021 insgesamt 6519 Personen in Isolation und 10 689 in Quarantäne. Diese Zahlen sind im Vergleich zur Vorwoche gesunken. Die Anzahl Personen in Quarantäne nach Einreise aus einem Land mit erhöhtem Ansteckungsrisiko ist gesunken auf 3552, nach Angaben von 23 Kantonen und dem FL.","Gemäss Meldungen von 24 Kantonen und dem FL befanden sich am 02.06.2021 insgesamt 6519 Personen in Isolation und 10 689 in Quarantäne. Diese Zahlen sind im Vergleich zur Vorwoche gesunken. Die Anzahl Personen in Quarantäne nach Einreise aus einem Land mit erhöhtem Ansteckungsrisiko ist gesunken auf 3552, nach Angaben von 23 Kantonen und dem FL.",202121,2021-06-02_07-57-25,COVID19WeeklyReportText
cases-summary,"Schweizweit (inkl. FL) wurden für die Berichtswoche 5111 Fälle gemeldet, gegenüber 7344 Fällen in der Vorwoche. Die Inzidenz der Fälle ist von 85 pro 100 000 Einwohnerinnen und Einwohner (Einw.) in der Vorwoche auf 59 gesunken (-30 %).","En Suisse et au Liechtenstein, 5111 cas ont été déclarés pour la semaine sous revue, contre 7344 pour la semaine précédente. L’incidence des cas a diminué, passant de 85 pour 100 000 habitants durant la semaine précédente à 59 (- 30 %).","In tutta la Svizzera (incl. FL) nella settimana in rassegna sono stati dichiarati 5111 casi, contro i 7344 della settimana precedente. L’incidenza dei casi è diminuita, passando da 85 ogni 100 000 abitanti nella settimana precedente a 59 (-30 %).","Schweizweit (inkl. FL) wurden für die Berichtswoche 5111 Fälle gemeldet, gegenüber 7344 Fällen in der Vorwoche. Die Inzidenz der Fälle ist von 85 pro 100 000 Einwohnerinnen und Einwohner (Einw.) in der Vorwoche auf 59 gesunken (-30 %).","Schweizweit (inkl. FL) wurden für die Berichtswoche 5111 Fälle gemeldet, gegenüber 7344 Fällen in der Vorwoche. Die Inzidenz der Fälle ist von 85 pro 100 000 Einwohnerinnen und Einwohner (Einw.) in der Vorwoche auf 59 gesunken (-30 %).",202121,2021-06-02_07-57-25,COVID19WeeklyReportText
cases-geography,Die Inzidenzrate lag in der Berichtswoche in 4 Kantonen bei über 100 Fällen pro 100 000 Einw. und Woche. Insgesamt lag die Inzidenzrate der laborbestätigten Fälle in der Schweiz und in Liechtenstein zwischen 22 Fällen pro 100 000 Einw. und Woche im TI und 298 in AI. In 24 Kantonen nahm die Inzidenzrate um mehr als 10 % ab. In einem Kanton und im FL veränderte sich die Inzidenzrate mit ±10 % wenig. Nur in einem Kanton stieg die Inzidenzrate um mehr als 10 %. In der Mehrheit der Kantone sank die Inzidenzrate der laborbestätigten Fälle pro 100 000 Einw. und Tag über die letzten 4 Wochen tendenziell.,"Pour la semaine sous revue, le taux d’incidence était, pour 100 000 habitants et par semaine, supérieur à 100 cas dans 4 cantons. Le taux d’incidence des cas confirmés en laboratoire en Suisse et au Liechtenstein variait, pour 100 000 habitants et par semaine, entre 22 cas pour TI et 298 à AI. Dans 24 cantons, le taux d’incidence a diminué de plus de 10 %. Dans un canton et au Liechtenstein, il n’a que peu changé (± 10 %). Il a augmenté de plus de 10 % dans un canton seulement. Dans la majorité des cantons, le taux d’incidence des cas confirmés en laboratoire pour 100 000 habitants et par jour a eu tendance à diminuer durant les quatre dernières semaines.","Nella settimana in rassegna, il tasso di incidenza ha superato i 100 casi alla settimana per 100 000 abitanti in 4 Cantoni. Nel complesso, il tasso di incidenza dei casi confermati in laboratorio in Svizzera e in FL ha oscillato tra i 22 casi alla settimana per 100 000 abitanti in TI e i 298 in AI. In 24 Cantoni il tasso di incidenza è diminuito di più del 10 %. In un Cantone e in FL è variato poco, con un ±10 %. Soltanto in un Cantone è aumentato di più del 10 %. Il tasso di incidenza dei casi confermati in laboratorio per 100 000 abitanti e per giorno è tendenzialmente sceso nelle ultime 4 settimane nella maggior parte dei Cantoni.",Die Inzidenzrate lag in der Berichtswoche in 4 Kantonen bei über 100 Fällen pro 100 000 Einw. und Woche. Insgesamt lag die Inzidenzrate der laborbestätigten Fälle in der Schweiz und in Liechtenstein zwischen 22 Fällen pro 100 000 Einw. und Woche im TI und 298 in AI. In 24 Kantonen nahm die Inzidenzrate um mehr als 10 % ab. In einem Kanton und im FL veränderte sich die Inzidenzrate mit ±10 % wenig. Nur in einem Kanton stieg die Inzidenzrate um mehr als 10 %. In der Mehrheit der Kantone sank die Inzidenzrate der laborbestätigten Fälle pro 100 000 Einw. und Tag über die letzten 4 Wochen tendenziell.,Die Inzidenzrate lag in der Berichtswoche in 4 Kantonen bei über 100 Fällen pro 100 000 Einw. und Woche. Insgesamt lag die Inzidenzrate der laborbestätigten Fälle in der Schweiz und in Liechtenstein zwischen 22 Fällen pro 100 000 Einw. und Woche im TI und 298 in AI. In 24 Kantonen nahm die Inzidenzrate um mehr als 10 % ab. In einem Kanton und im FL veränderte sich die Inzidenzrate mit ±10 % wenig. Nur in einem Kanton stieg die Inzidenzrate um mehr als 10 %. In der Mehrheit der Kantone sank die Inzidenzrate der laborbestätigten Fälle pro 100 000 Einw. und Tag über die letzten 4 Wochen tendenziell.,202121,2021-06-02_07-57-25,COVID19WeeklyReportText
